sop,demo_name,task_id,ablation--model,ablation--is_pairwise,ablation--is_td,ablation--is_kf,ablation--is_act,ablation
"Based on the workflow demonstration provided, here is the Standard Operating Procedure (SOP):

1. Click on the ""Issues"" icon located in the top navigation bar on the right side of the screen. The icon resembles a document with a number badge (e.g., ""13"") and is positioned between the ""New entry"" plus sign (+) icon and the ""Merge requests"" icon.
2. Click on the search/filter bar located above the list of issues. The field currently contains a filter tag that reads `Assignee = Byte Blaze`.
3. Type the keyword `feature` into the search bar.
4. Press the ""Enter"" key on your keyboard to apply the search filter.
5. Click on the sort dropdown button labeled ""Created date"" located at the top right of the issue list, immediately to the left of the sort direction arrow button.
6. From the dropdown menu that appears, click on the ""Created date"" option to confirm or apply the sorting order.
7. Click on the issue title link labeled `[Feature suggestion] WCAG trash panda mode`. In this specific instance, it corresponds to the second item in the filtered list.
8. The browser will navigate to the specific issue's details page, where the status (Open or Closed) can be verified near the top title area.",179 @ 2023-12-28-11-13-06,179,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Based on the provided screenshots and actions, here is the Standard Operating Procedure (SOP) for the workflow:

1. Click on the **REPORTS** icon located in the main navigation sidebar on the far left side of the screen.
2. In the 'Reports' menu overlay that appears, navigate to the ""Customers"" column and click on the **Order Count** link.
3. On the 'Order Count Report' page, click on the **calendar icon** located immediately to the right of the ""From:"" input field to open the date picker widget.
4. Inside the date picker widget, click on the **year dropdown** (e.g., ""2023"") located in the widget's header.
5. Scroll up or down within the year dropdown list to locate the year **1923**.
6. Click on **1923** in the dropdown list to select it.
7. Click on the **month dropdown** (e.g., ""Dec"") located to the left of the year in the widget's header.
8. Click on **Jan** in the month dropdown list to select January.
9. Click on the number **1** in the calendar grid to set the start date to January 1, 1923.
10. Click on the **calendar icon** located immediately to the right of the ""To:"" input field.
11. Click on the number **27** (or the current date) in the calendar grid to set the end date.
12. Click on the **Show By:** dropdown menu, which initially displays ""Day"".
13. Select the **Year** option from the dropdown menu.
14. Click on the **Refresh** button located to the right of the ""Show By:"" dropdown to generate the report.
15. Scroll down to the bottom of the results page to find the section with data (e.g., for the year 2023) and identify the customers who have placed 2 orders (e.g., Lily Potter, Ava Brown, Adam Garcia, Alex Martin).",64 @ 2023-12-27-00-12-03,64,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the observed workflow:

1. Click on the ""MARKETING"" icon (represented by a megaphone) located in the vertical navigation sidebar on the far left side of the screen.
2. In the ""Marketing"" menu panel that appears, locate the ""User Content"" subheading and click on the ""All Reviews"" link listed underneath it.
3. On the ""Reviews"" page, locate the row of filter input fields directly below the column headers of the data grid. Click into the empty text field situated directly underneath the ""Review"" column header.
4. Type the phrase ""not useful"" into this text field.
5. Click the ""Search"" button located above the data grid on the left-hand side to apply the filter and view the results.",14 @ 2023-12-25-17-33-45,14,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Based on the provided screenshots and actions, here is the Standard Operating Procedure (SOP) for the workflow:

1.  Navigate to the main menu sidebar on the left side of the screen and click on the **CATALOG** menu item (represented by a cube icon).
2.  In the sub-menu that appears, click on the **Products** link to navigate to the product inventory grid.
3.  Click on the text input field labeled **Search by keyword**, located above the product list on the left-hand side.
4.  Type ""Chloe tank"" into the search field.
5.  Use the keyboard to backspace and remove the substring "" tank"", changing the search query to just ""Chloe"", then press the **Enter** key to execute the search.
6.  Locate the row in the search results for the product named **Chloe Compete Tank** (ID 1764). Click on the product name text ""Chloe Compete Tank"" in the ""Name"" column to open the product editing page.
7.  Scroll down the product configuration page approximately 386 pixels until you see the section headers for product attributes.
8.  Click on the section header labeled **Product Reviews** to expand the accordion and view the list of reviews associated with this product.
9.  Scan the reviews to identify the dissatisfied customer (indicated by the summary ""Not for non-petite""). Click on the **Edit** link in the ""Action"" column corresponding to the row with ID 335 (Nickname: Teofila).
10. The browser will navigate to the ""Edit Review"" page, displaying the detailed information for the dissatisfied customer.",115 @ 2024-01-13-05-34-10,115,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the observed workflow:

1. Click on the ""Forums"" link located in the red navigation bar at the top of the page, between ""Postmill"" and ""Wiki"".
2. On the ""List of forums"" page, click on the ""Alphabetical"" tab located in the gray sub-navigation bar to the right of the ""Tags"" link.
3. Scroll down the page to locate the section of forums starting with the letter 'D'.
4. Click on the link labeled ""DIY"" found in the 'D' column of the alphabetical list.
5. On the ""DIY"" forum page, click the sorting dropdown button labeled ""Hot"" (accompanied by up/down arrows), located in the sub-header to the right of the ""Comments"" tab.
6. From the dropdown menu that appears, click on the ""New"" option to reorder the posts by the most recent submissions.
7. Identify the latest post at the very top of the list. Click on the username link (e.g., ""ziostraccette"") located in the ""Submitted by"" line directly beneath the post title.
8. On the user's profile page, click on the ""Comments"" tab located in the secondary navigation bar, to the right of the ""Submissions"" tab.
9. Scroll down the comment history page to inspect the vote scores located to the left of each comment. Identify and count the comments that have a negative score (indicating more downvotes than upvotes), such as the comment at the bottom of the list with a score of ""-2"".",29 @ 2023-12-25-17-51-26,29,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the observed workflow:

1. Click on the ""Advanced Search"" link, which is located directly beneath the main search bar in the top-right corner of the web page.
2. Click on the text input field labeled ""Product Name"" to place the cursor inside it.
3. Type the text ""Amazon basic"" into the ""Product Name"" field.
4. Click the blue ""Search"" button located at the bottom of the search settings form.
5. On the search results page, click the ""Sort By"" dropdown menu located above the product list on the right-hand side (the dropdown initially displays ""Product Name"").
6. From the expanded dropdown menu, click on the ""Price"" option to sort the products by cost.
7. Click on the arrow icon located immediately to the right of the ""Sort By"" dropdown menu to reverse the sorting order (changing the view from ""Low to High"" to ""High to Low"").",226 @ 2023-12-27-12-59-37,226,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the ""Show all customers"" workflow:

1. Navigate to the primary navigation sidebar located on the far left side of the screen. Click on the ""CUSTOMERS"" menu item, which is represented by an icon of a person and is positioned below the ""CATALOG"" option.
2. A secondary menu panel labeled ""Customers"" will expand to the right of the navigation bar. Click on the ""All Customers"" link, which is the first option listed at the top of this list.",157 @ 2023-12-27-22-58-25,157,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Based on the workflow demonstration provided, here is the Standard Operating Procedure (SOP):

1.  Navigate to the product catalog by clicking on the **Products** link located within the ""Catalog"" menu in the dark sidebar on the left side of the screen.
2.  Click on the text field labeled **Search by keyword**, which is located above the product grid on the left-hand side, directly under the page title ""Products"".
3.  Type the text ""Olivia zip jacket"" into the search bar.
4.  Edit the search query by backspacing to delete the phrase "" zip jacket"", leaving only the word ""Olivia"" in the search field.
5.  Press the **Enter** key on your keyboard to run the search.
6.  Locate the row in the search results with ID **1396**. Click on the product name **Olivia 1/4 Zip Light Jacket** in the ""Name"" column to open the product's edit page.
7.  Scroll down the product details page until you see the accordion sections at the bottom of the form.
8.  Click on the **Product Reviews** section header to expand the tab and view the list of customer reviews.
9.  Scroll down slightly to bring the review content into full view, allowing you to read the ""Review"" column (e.g., ""Quite good..."").",122 @ 2024-01-13-06-01-40,122,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the workflow ""Tell me the total cost of my latest cancelled order?"":

1.  Click on the ""My Account"" link located in the header at the top right of the page. This link is positioned between the ""One Stop Market"" logo on the far left and the ""My Wish List"" and ""Sign Out"" links on the right.
2.  On the ""My Account"" dashboard page, navigate to the sidebar menu on the left side of the screen. Click on the ""My Orders"" link, which is the second item in the list, located directly underneath the ""My Account"" menu item.
3.  The ""My Orders"" page will load, displaying a table of your order history. Locate the most recent order (the top row in the table) with the status ""Canceled"" in the ""Status"" column to identify its ""Order Total"".",188 @ 2024-01-01-22-56-49,188,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Based on the screenshots and actions provided, here is the Standard Operating Procedure (SOP) for the ""Checkout merge requests assigned to me"" workflow in Gitlab:

1.  Navigate to the top right section of the global header bar. Click on the ""Merge requests"" icon, which is represented by a merge symbol (two lines merging into one) accompanied by a notification badge number (e.g., ""8""). It is located to the right of the ""Issues"" icon and to the left of the ""To-Do List"" icon.
2.  A dropdown menu titled ""Merge requests"" will appear. Click on the ""Assigned to you"" option within this menu (which may also display a count, such as ""3"") to navigate to the dashboard showing only the merge requests assigned to your user account.",156 @ 2023-12-27-12-13-15,156,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
