demo_name,gold_sop,0_rubric_eval_explanation,0_rubric_eval_score,1_rubric_eval_explanation,1_rubric_eval_score,rubric
179 @ 2023-12-28-11-13-06,"Open my latest created issue that has feature in its title to check if it is closed
1. Click the ""Issues"" icon (located directly to the right of the plus sign icon) in the top purple navigation bar.
2. Click on the third gray tab labeled ""All"" at the top.
3. Click the search box at the top of the page (to the right of the ""Assignee"" tag).
4. Enter in the keyword ""feature"".
5. Click the down arrow to the right of the search bar to open the sort by dropdown menu.
6. From the dropdown, click on ""Created date"".
7. Click on the first sorted search result that includes the keyword.
8. From this page, you can find if the issue is closed.","Element Specification: The SOP provides clear descriptions and locations for UI elements such as the 'Issues' icon and the 'All' tab, scoring 1. Action Type: The SOP uses appropriate action verbs like 'Click' and 'Enter', scoring 1. Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'Issues' icon is not visible or if no issues contain the keyword 'feature', scoring 0. Discrete Action: Each step in the SOP contains only one action, scoring 1. Action Relevance: All actions are relevant to the task of finding and checking an issue, scoring 1. Generality: The SOP is somewhat specific but does not overfit to a particular screen size or layout, scoring 1.",4.2,"Element Specification: Each UI element is well described with both a name and a location, earning a score of 1. Action Type: The SOP uses appropriate action verbs such as 'Click', 'Type', and 'Press', which are all valid according to the rubric, earning a score of 1. Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'Issues' icon is not visible or if the search yields no results, earning a score of 0. Discrete Action: Each step in the SOP contains only one discrete action, which aligns with the rubric requirements, earning a score of 1. Action Relevance: All actions are relevant to the task of finding and sorting issues by creation date in GitLab, earning a score of 1. Generality: The SOP is general enough and does not overfit to specific screen sizes or window configurations, earning a score of 1.",4.2,"{'0': 4.2, '1': 4.2}"
64 @ 2023-12-27-00-12-03,"Which customer has placed 2 orders in the entire history?

1. Click on the “REPORTS” button in the dark gray column on the left hand side of the page. The button has a bar plot as symbol and is below the ""CONTENT"" button and above the ""STORES"" button.
2. Click on “Order Count” in the pop up menu, located under the heading “Customers”. The option is below the ""Order Total"" option and above the ""New"" option.
3. In the ""From"" field, click on the calendar icon. This field is the first field from the left and is just above the records table.
4. From the calendar, click on the dropdown menu corresponding to the month selection. This dropdown menu is the one at the left in the pop up calendar menu and has the abreviation of a month written in it.
5. In the gray list showing all the available months, click on the entry corresponding to January, which has the text ""Jan"" on it.
6. From the calendar, click on the dropdown menu corresponding to the year selection. This dropdown menu is the one at the right in the pop up calendar menu.
7. In the gray list showing all the available years, scroll up until you find the first entry. This entry corresponds to the year 1923. Click on that entry.
8. Click on the day ""1"" on the calendar menu. This will select the date January 1st, 1923.
9. In the ""To"" field, click on the calendar icon. This field is the second field from the left and is just above the records table. This field is at the right of the ""From"" field.
10. From the calendar, click on the dropdown menu corresponding to the month selection. This dropdown menu is the one at the left in the pop up calendar menu and has the abreviation of a month written in it.
11. In the gray list showing all the available months, click on the entry corresponding to the current month.
12. From the calendar, click on the dropdown menu corresponding to the year selection. This dropdown menu is the one at the right in the pop up calendar menu.
13. In the gray list showing all the available years, scroll down until you find the current year. Click on that entry.
14. Click on the day that corresponds to the current date on the calendar menu. This will select the current date as the ""To"" date.
15. Click on the ""Show By"" dropdown menu, located directly to the right of the text “Show By:”. This dropdown menu is at the left of the gray ""Refresh"" button, above the records table.
16. Click on “Year” in the dropdown menu. It is the third entry and is below the ""Month"" option.
17. click on the gray ""Refresh"" button at the right of the ""Show By"" dropdown menu. This button is above the records table.
18. Scroll down through all records. Keep track of how many total orders each customer has made. The customer can be identified by their name, located in the second column of the data table. The number of orders they made on a given occasion is given in the ""Orders"" column of the data table. this column is the third one.
19. The answer is the customer with 2 orders in the entire history from your calculations in the previous step.
","Element Specification: The SOP provides clear locations and descriptions for UI elements such as 'Reports' in the left bar, 'Order Count' under the 'Customers' tab, and calendar icons in the 'From' and 'To' fields, scoring 1. Action Type: The SOP uses appropriate action verbs like Click and Select, which are within the specified action types, scoring 1. Edge Case Coverage: The SOP does not address any potential edge cases such as what to do if the calendar does not load or if the 'Order Count' option is not visible, scoring 0. Discrete Action: Each step in the SOP contains only one action, which aligns with the requirement for discrete actions, scoring 1. Action Relevance: All actions are relevant to the task of finding a customer who has placed exactly 2 orders, scoring 1. Generality: The SOP is generally applicable but could improve by not specifying '1923' as the earliest year, which may not be true for all systems or in future cases, scoring 0.",4.0,"Element Specification: Each step clearly specifies the UI element and its location, earning a score of 1. Action Type: All actions used are within the specified types (Click, Scroll), earning a score of 1. Edge Case Coverage: The SOP does not address any potential edge cases such as elements not being visible or fields being pre-populated, earning a score of 0. Discrete Action: Each step contains only one discrete action, earning a score of 1. Action Relevance: All actions are relevant to the task of generating and viewing a report, earning a score of 1. Generality: The SOP is quite specific and does not overfit to a particular screen size or layout, earning a score of 1. Overall, the SOP scores well in most categories but lacks in addressing potential edge cases.",4.2,"{'0': 4.0, '1': 4.2}"
14 @ 2023-12-25-17-33-45,"Tell me the the number of reviews that our store received by far that mention term ""not useful"".

1. Click on the ""Marketing"" button on the far lefthand sidebar. It has an icon which looks like a megaphone. It should be located directly above the ""Content"" button and below the ""Customers"" button. 
2. In the popup menu that appears, click on the ""All Reviews"" link to go to the ""Reviews"" page. The link should be located under the ""User Content"" section.
3. Locate the column labeled ""Review"" in the table shown and click on the input field below the ""Review"" white text. This column should be in the middle of the screen.
4. Type ""not useful"" in the textbox corresponding to the ""Review"" column and press enter to search for reviews with ""not useful"" in them.
5. Save the number reviews with that appears on above the table, at the left of the screen. The text is in the format ""X records found"", where X is the number of records found which contain ""not useful"" in the review. This text is located at the right of the ""Actions"" dropdown menu.
","Element Specification: The SOP provides some location details such as 'On the left bar' and 'Under the User Content heading', but it lacks specific icon descriptions or more precise locations. Score: 0.5. Action Type: The SOP uses appropriate action verbs like 'click' and 'type', which are within the specified action types. Score: 1. Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'Marketing' tab or 'All Reviews' link is not visible or if the search yields no results. Score: 0. Discrete Action: The SOP mostly adheres to one action per step, except for step 5, which combines reporting the number with finding the term 'not useful' in the table, which could be split for clarity. Score: 0.5. Action Relevance: The actions are relevant to the task, but there is a significant error in step 3 where the term typed ('disappointed') does not match the term mentioned in the task ('not useful'). Score: 0. Generality: The SOP does not overfit to a specific window size or screen, but it does not provide guidance on general navigation or viewing adjustments, such as scrolling if the table is not fully visible. Score: 0.5.",2.5,"Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'Marketing tab located in the left sidebar' and 'All Reviews link under the User Content section' (1). Action Type: The SOP uses appropriate action verbs like 'Click' and 'Type', which are within the specified action types (1). Edge Case Coverage: The SOP addresses a potential edge case where the 'Review' column might not be visible and instructs to scroll the table horizontally to find it (1). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the requirement of separating actions like clicking and typing into different steps (1). Action Relevance: All actions are relevant to the task of filtering reviews by typing 'not useful' in the search field and searching for it, which directly relates to finding specific types of reviews (1). Generality: The SOP is general and does not overfit to specific window sizes or screens; it provides instructions that should be applicable regardless of the user's device or display settings (1).",5.0,"{'0': 2.5, '1': 5.0}"
115 @ 2024-01-13-05-34-10,"Show me the name of the customers who have expressed dissatisfaction with Chloe tank
1. Click on the “CATALOG” button. This button is located in the dark gray column on the left-hand side of the page. It's directly above the “Customers” button and below the “Sales” button, identifiable by an icon resembling a shipping box.
2. Click on “Products” in the popup menu. You'll find this option under the “Catalog” heading, situated near the top of the list. This action will direct you to the page listing all products.
3. Click into the search box located at the top of the products table. The search box is directly above the first product row and below the page title “Products”. It's marked by a magnifying glass icon on the right side.
4. Type in the name of the product we are looking for into the search box, in this case it is “Chloe tank”. Before typing, ensure that the box is empty to avoid mixing your search term with any existing text.
5. Press Enter. This action will filter the product list based on your search term.
6. Click on the product name “Chloe tank” located in the “Name” column. The “Name” column is the first column on the left of the table. If multiple entries appear, identify the correct product by its image or SKU (Stock Keeping Unit) number listed alongside the name.
7. Scroll down to the “Product Reviews” section. This section is located towards the bottom of the product detail page, below the product specifications and images. If the “Product Reviews” section is not immediately visible, continue scrolling until you find it.
8. Click on the “Product Reviews” heading to expand its contents. The heading is usually an expandable section accordion, which might require you to look for a small arrow or plus sign indicating that the section can be expanded.
9. Scroll through the reviews in the expanded “Product Reviews” section to find any expressions of dissatisfaction. Pay special attention to the “Title” and “Review” columns for keywords like ""disappointed,"" ""unhappy,"" ""returning,"" etc., which can indicate dissatisfaction. For reviews expressing dissatisfaction, note the name of the user provided in the review. The full name might not be available so nickname will also suffice.
10. If further identification is needed, click on the blue “Edit” link located in the rightmost column of the row containing the review of interest. This option might not lead to more detailed information about the user but is worth checking. The “Edit” link allows access to the review's detailed view, which may contain additional information about the reviewer and their review. After noting the necessary information, click on the “Back” button to return to the list of product reviews. The “Back” button is typically located near the top of the page, to the left of the “Delete Review” button. Continue analyzing the reviews to complete the task as needed.","Element Specification: The SOP provides detailed locations and descriptions for each UI element (1). Action Type: The SOP uses appropriate action verbs like 'Click', 'Type', 'Press', 'Delete', and 'Scroll' (1). Edge Case Coverage: The SOP addresses what to do if the product is not found initially and modifies the search query (1). Discrete Action: Each step contains only one action, ensuring clarity and simplicity (1). Action Relevance: All actions are relevant to the task of finding customer dissatisfaction for a specific product (1). Generality: The SOP is general enough, not overfitting to specific screen sizes or window configurations (1).",5.0,"Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'button labeled ""CATALOG"" in the left sidebar navigation menu' (1). Action Type: The SOP uses appropriate action verbs like Click, Type, Press, Scroll, and Delete (1). Edge Case Coverage: The SOP addresses a potential edge case where a search might yield no results and provides a solution to modify the search query (1). Discrete Action: Each step in the SOP contains only one discrete action, ensuring clarity and ease of following the instructions (1). Action Relevance: All actions are relevant to the task of finding and reviewing a specific product, ensuring that each step contributes directly to accomplishing the task (1). Generality: The SOP is general enough to apply in various situations without assuming specific window sizes or screen resolutions, focusing on actions like scrolling to view content rather than specifying exact scroll distances (1).",5.0,"{'0': 5.0, '1': 5.0}"
29 @ 2023-12-25-17-51-26,"Tell me the count of comments that have received more downvotes than upvotes for the user who made the latest post on the DIY forum.

1. Click on the tab labeled ""Forums"", which is the 2nd tab in the top red menubar. The tab should be at the right of the ""Postmill"" tab and at the left of the ""Wiki"" tab.
2. Click on the third gray tab at the top labeled ""Alphabetical"". This gray tab is located below the top red bar, at the right of the gray ""Tags"" bar.
3. Locate the section ""D"" at the bottom left of the screen and click on the red ""DIY"" link at the bottom left corner. This link should be below the red ""deeplearning"" link and above the red ""Documentaries"" link.
4. Click on the sort dropdown menu which has a symbol of two arrows: one facing up and one facing down. The dropdown menu says ""Hot"".
5. From the dropdown menu which showed up, click on the ""New"" option. This should be the second option and it should be below the ""Hot"" option and above the ""Active"" option.
6. Click on the black bold text corresponding to the username which corresponds to the first submission you see on the screen. The username is in bold, black text and follows the words ""Submitted by"". the text should be above a red text which says ""No comments"".
7. Click on the third gray tab at the top labeled ""Comments"". This tab should be at the right of the gray ""Submissions"" tab and under the top red bar.
8. Scroll down until you reach the bottom of the page. While scrolling, count the number of times you see a negative number. This number should be located below an upwards facing arrows and above a downwards facing arrow. The number should be at the left of each comment which is enclosed in a gray bordered box.
9. Output the count you made. That is the number comments that received more downvotes than upvotes for the user who made the latest post on the DIY forum.","Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'Forums' tab on the top red bar and 'Alphabetical' tab on the grey top bar (1). Action Type: The SOP uses appropriate action verbs like Click and Look, which are within the specified action types (1). Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the DIY forum is not listed under 'D' or if the user's comments section is not accessible (0). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the requirement of separating actions like clicking and looking into different steps (1). Action Relevance: All actions are relevant to the task of finding the count of comments with more downvotes than upvotes for a specific user (1). Generality: The SOP is generally applicable but does not mention what to do if the interface layout changes or if elements are not in the expected places, which could be seen as a slight lack of generality (0).",4.0,"Element Specification: Each element in the SOP is well specified with descriptive names and locations, such as 'link labeled ""Forums"" located in the red navigation bar' (1). Action Type: The SOP uses appropriate action verbs like Click and Scroll, adhering to the specified action types (1). Edge Case Coverage: The SOP addresses a potential edge case with the instruction 'If ""DIY"" is not immediately visible, continue scrolling down the alphabetical list' (1). Discrete Action: Each step in the SOP contains only one discrete action, ensuring clarity and simplicity (1). Action Relevance: All actions are relevant to navigating and using the forum as described, such as clicking on specific links and sorting options that are pertinent to the task (1). Generality: The SOP is general enough to apply in various scenarios without being overly specific to certain screen sizes or configurations (1). Overall, the SOP meets all the criteria effectively, warranting a high score.",5.0,"{'0': 4.0, '1': 5.0}"
226 @ 2023-12-27-12-59-37,"What is the price range for products from Amazon basic?
1. Click on the ""Advanced Search"" link. This link is usually located directly below the main search bar, at the top right-hand side of the homepage. The ""Advanced Search"" link is typically highlighted in blue, making it distinguishable from the other text on the page.
2.  Click inside the ""Product Name"" text field, which is situated under the heading ""Search Settings"". This field is where you will specify the product you are looking for. If the ""Product Name"" field is not immediately visible, scroll up or down until you find it.
3. Type the name of the product you are interested in into the ""Product Name"" text field, in this case type ""Amazon Basics"". Before typing, ensure that the text field is empty. If it's not, clear any pre-existing text by clicking inside the text field, using the keyboard shortcut Ctrl + A (or Cmd + A on Mac) to select all text, and then press the Delete key.
4. Press on the ""Search"" button which is located at the bottom of the Advanced Search page. This button is colored blue, making it easy to identify. Click the ""Search"" button to identify on the page.
4. Click on the ""Sort By"" dropdown menu. This menu is usually found at the top of the search results, aligned to the right.
5. Select ""Price"" from the list of sorting options in the ""Sort By"" menu. This action reorders the search results to display products from the lowest to the highest price.
6. Scroll to identify the first product listed in the results, it will have the lowest price. Note the price displayed can be found directly below the product image and name. This price is the starting point of the price range.
7. Click the sorting toggle, represented by an arrow icon, directly to the right of the ""Sort By"" dropdown. This toggle switches the sort order from ascending to descending (lowest to highest to highest to lowest).
8. Scroll to identify the first product listed in the results, it will have the highest price. Note the price displayed can be found directly below the product image and name. This price is the starting point of the price range. The price range for ""Amazon Basics"" products is determined by the lowest and highest prices you've noted. This range gives you the span of prices from the most affordable to the most expensive ""Amazon Basics"" products available on the platform.","Element Specification: The SOP provides clear descriptions and locations for UI elements such as the 'Advanced Search' button and 'Product Name' box, scoring 1. Action Type: The SOP uses appropriate action verbs like 'Click', 'Enter', and 'Select', scoring 1. Edge Case Coverage: The SOP does not address potential edge cases, such as what to do if 'Amazon basic' products do not appear or if the UI elements are not visible, scoring 0. Discrete Action: The SOP mostly adheres to one action per step, except for step 5 and 7 where observing the price and identifying it as a bound should be separate actions, scoring 0. Action Relevance: All actions are relevant to finding the price range of 'Amazon basic' products, scoring 1. Generality: The SOP is somewhat general but could improve by not assuming the position of items or the visibility of the 'Add to Cart' button, scoring 0.",3.0,"Element Specification: Each UI element is well described with its name and location, earning a score of 1. Action Type: The SOP uses appropriate action verbs such as 'Click', 'Type', and 'Scroll', which are all valid according to the rubric, earning a score of 1. Edge Case Coverage: The SOP addresses potential visibility issues with the 'Search' button and the sort order arrow, providing solutions for these edge cases, earning a score of 1. Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric's requirement, earning a score of 1. Action Relevance: All actions are relevant to the task of searching and sorting products, earning a score of 1. Generality: The SOP is general enough, not overfitting to specific screen sizes or configurations, earning a score of 1. Overall, the SOP meets all the criteria of the rubric effectively.",5.0,"{'0': 3.0, '1': 5.0}"
157 @ 2023-12-27-22-58-25,"Show all customers
1. Click on the ""Customers"" icon on the left sidebar, depicted by a silhouette of a person. It is directly below ""Catalog"" and directly above ""Marketing"".
2. Select ""All Customers"" from the popup sidebar, it is typically the first option under a bold heading titled ""Customers."" If ""All Customers"" is not visible due to the size of your browser window or screen resolution, scroll within the dropdown menu to find it.","Element Specification: The SOP provides clear descriptions of where to find the UI elements, such as 'Customers' icon on the left that looks like a person. Score: 1. Action Type: The SOP uses appropriate action verbs like 'Click', which are specified in the rubric. Score: 1. Edge Case Coverage: The SOP does not mention any potential edge cases or how to handle them, such as what to do if the 'Customers' icon is not visible. Score: 0. Discrete Action: Each step in the SOP contains only one action, adhering to the requirement of discrete actions per step. Score: 1. Action Relevance: All actions are relevant to the task of showing all customers. Score: 1. Generality: The SOP is general and does not overfit to specific screen sizes or configurations. Score: 1. Overall, the SOP scores well on most criteria except for edge case coverage.",4.2,"Element Specification: The SOP provides clear descriptions of where to find the UI elements ('CUSTOMERS' icon in the navigation sidebar, 'All Customers' link in the sub-menu), scoring 1. Action Type: The SOP uses appropriate action verbs ('Click'), scoring 1. Edge Case Coverage: The SOP does not mention any potential edge cases or how to handle them, scoring 0. Discrete Action: Each step in the SOP contains only one discrete action, scoring 1. Action Relevance: The actions are relevant to navigating customer information but without context of the end goal, it's hard to assess complete relevance, scoring 0.5. Generality: The SOP is general enough and does not overfit to specific screen sizes or configurations, scoring 1.",4.5,"{'0': 4.2, '1': 4.5}"
122 @ 2024-01-13-06-01-40,"Tell me the reasons why customers like Olivia zip jacket
1. Click on the “CATALOG” button. This button is situated in left-hand side of the screen and has an icon that looks like a shipping box.
2. Click on “Products” in the sidebar popup that appears. This link is placed under the heading “Catalog” and is the first option.
3. Click the search bar which is positioned above the products table at the top of the page. The search box has a magnifying glass icon on its right side. If you're unable to see the search box immediately, it may be necessary to scroll up the page.
4. Type “Olivia zip jacket” into the search box, as that is the product we are interested in. Press the “Enter” key on your keyboard to initiate the search.
5. Scroll through the results to identify the product we want, in this case it is the Olivia zip jacket. If the search yields no results, indicating that the exact product name might not match the store's inventory, remove the latter part of the search term by clicking inside the search box, using the backspace key on your keyboard to delete “ jacket”, and then press “Enter” again. Should there still be no results, indicating further refinement is needed, repeat the deletion process for “ zip”, leaving just “Olivia”. Press “Enter” to search once more.
6. Click on the name of the relevant product. This action will take you to the product detail page, where additional information, including reviews, can be found.
7. Scroll down to find the “Product Reviews” section. This section might be located towards the bottom of the page, so it may require some scrolling.
8. Click on the “Product Reviews” tab to expand and view its contents.
9. Scroll through the expanded “Product Reviews” section to read all available reviews. Reviews will be listed in the “Review” column. Extract the reasons why customers like the Olivia zip jacket from the text found in the “Title” and “Review” columns. These columns will contain concise summaries and detailed feedback from customers, respectively.","Element Specification: The SOP provides detailed localization for each UI element, such as 'CATALOG button in the dark gray column' and 'search box, located above the products table' (1). Action Type: The SOP uses appropriate action verbs like Click, Type, Press, Delete, and Scroll, which are all valid according to the rubric (1). Edge Case Coverage: The SOP addresses potential issues like 'Since there are no results, we will try a modified search term,' guiding the user through troubleshooting steps (1). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric's requirements (1). Action Relevance: All actions are relevant to the task of finding reasons why customers like the Olivia zip jacket, such as typing the product name and checking product reviews (1). Generality: The SOP is general enough, not overfitting to specific screen sizes or window configurations, and instructs to scroll down to view all reviews, which is a general instruction (1).",5.0,"Element Specification: Each step clearly specifies the UI element and its location, earning a score of 1. Action Type: The SOP uses appropriate action verbs such as Click, Type, Press, Delete, and Scroll, consistent with the rubric, earning a score of 1. Edge Case Coverage: The SOP addresses a potential edge case in step 6 where no records are found, providing a solution, earning a score of 1. Discrete Action: Each step contains only one discrete action, adhering to the rubric, earning a score of 1. Action Relevance: All actions are relevant to the task of finding and reviewing a specific product, earning a score of 1. Generality: The SOP is general enough to apply in various scenarios without being overly specific to certain screen sizes or configurations, earning a score of 1.",5.0,"{'0': 5.0, '1': 5.0}"
188 @ 2024-01-01-22-56-49,"Tell me the total cost of my latest cancelled order?
1. Click on ""My Account"" in the top bar
2. Click on ""My Orders"" in the left menu
3. Scroll until you see a canceled order from me until you see the one with the date closest to today's date.
4. Report the cost","Element Specification: The SOP provides basic localization for UI elements such as 'top bar' and 'left menu', but lacks detailed descriptions (0). Action Type: The SOP uses appropriate action verbs like 'click' and 'report', fitting the criteria (1). Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'My Orders' section is not visible or if there are no cancelled orders (0). Discrete Action: The SOP correctly separates actions into discrete steps, with each step containing only one action (1). Action Relevance: The actions are relevant to the task of finding the total cost of the latest cancelled order, although 'report' is vague and could be more specific about how to identify or calculate the total cost (0.5). Generality: The SOP does not specify actions that might depend on screen size or layout specifics, maintaining a level of generality (1). Overall, the SOP scores low on detailed element specification and edge case coverage, and partially meets the criteria for action relevance.",2.5,"Element Specification: The SOP provides clear descriptions and locations for each UI element such as 'My Account' link in the header and 'My Orders' link in the sidebar, scoring 1. Action Type: The SOP uses appropriate action verbs like 'Click' and 'Scroll', which are within the specified action types, scoring 1. Edge Case Coverage: The SOP addresses a potential edge case where the latest cancelled order might not be visible on the first page and instructs to click the pagination arrow, scoring 1. Discrete Action: The SOP separates actions into discrete steps effectively, scoring 1. Action Relevance: All actions are relevant to the task of finding the most recent cancelled order, scoring 1. Generality: The SOP is general enough, not overfitting to specific screen sizes or window configurations, scoring 1.",5.0,"{'0': 2.5, '1': 5.0}"
156 @ 2023-12-27-12-13-15,"Checkout merge requests assigned to me
1. Click on the ""Merge Requests"" Icon. It can be found on the upper right corner of the webpage. This icon resembles two diverging arrows and is situated between the ""Issues"" icon (which looks like a checklist) and the ""To-Do List"" icon (represented by a checkmark inside a box). The ""Merge Requests"" icon is usually the third icon from the top right corner.
2. Select the ""Assigned to You"" option from the dropdown menu that appears. This option is typically the first one listed under the ""Merge Requests"" section. This action filters the merge requests to only show those that are specifically assigned to you, which is relevant for this task.","Element Specification: The SOP provides clear descriptions and locations for UI elements such as the 'merge requests button on the purple bar at the top right of the page' (1). Action Type: The SOP uses appropriate action verbs like 'Click' and 'select' which are within the allowed actions (1). Edge Case Coverage: The SOP does not mention any potential edge cases or how to handle them, such as what to do if the 'merge requests' button is not visible (0). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the requirement (1). Action Relevance: All actions are relevant to the task of checking out merge requests assigned to the user (1). Generality: The SOP is general enough and does not overfit to specific screen sizes or window configurations (1).",4.2,"Element Specification: The SOP provides detailed descriptions and locations for UI elements such as the 'Merge requests' icon and its position relative to other icons, scoring 1. Action Type: The SOP uses appropriate action verbs like 'Click' and 'Scroll', which are within the allowed actions, scoring 1. Edge Case Coverage: The SOP addresses potential visibility issues of the navigation bar and dropdown menu items by instructing to scroll if necessary, scoring 1. Discrete Action: Each step in the SOP contains only one discrete action, scoring 1. Action Relevance: All actions are relevant to the task of accessing 'Merge requests' and finding items 'Assigned to you', scoring 1. Generality: The SOP is general enough, instructing users to scroll if needed without specifying exact measurements, scoring 1. Overall, the SOP meets all the criteria effectively.",5.0,"{'0': 4.2, '1': 5.0}"
